Phrase,IPA,ES Pronunciation,ES Translation,Island
Where is the big interstate?,/wɛər ɪz ðə bɪɡ ˈɪntərsteɪt/,guer is de big intersteit?,¿Dónde está la gran interestatal?,35 torture / interstate
The interstate was big.,/ðə ˈɪntərsteɪt wɒz bɪɡ/,de intersteit uoz big.,La interestatal era grande.,35 torture / interstate
The main road is wide.,/ðə meɪn rəʊd ɪz waɪd/,de mein rold is uaid.,La carretera principal es ancha.,35 torture / interstate
The dirt road is bad.,/ðə dɜːrt rəʊd ɪz bæd/,de dert rold is bad.,El camino de tierra es malo.,35 torture / interstate
The pathway is short.,/ðə ˈpæθweɪ ɪz ʃɔːrt/,de patuei is shor.,El sendero es corto.,35 torture / interstate
We walk on the footpath.,/wi wɔːk ɒn ðə ˈfʊtpɑːθ/,ui guok on de fut-path,Caminamos por el sendero.,35 torture / interstate
Where is the cat?,/weə r ɪz ðə kæt/,uer is de kat,¿Dónde está el gato?,35 torture / interstate
Where do you go?,/weə duː juː gəʊ/,uer du yu gou,¿A dónde vas?,35 torture / interstate
Where are you from?,/weə ɑː juː frɒm/,uer ar yu from,¿De dónde eres?,35 torture / interstate
Look at the direction.,/lʊk æt ðə dɪˈrɛkʃən/,luk at de di-rek-shion,Mira la dirección.,35 torture / interstate
He points the way.,/hi pɔɪnts ðə weɪ/,ji points de uei,Él señala el camino.,35 torture / interstate
Go to the left.,/gəʊ tuː ðə lɛft/,gou tu de left,Ve a la izquierda.,35 torture / interstate
Go to the right.,/gəʊ tuː ðə raɪt/,gou tu de rait,Ve a la derecha.,35 torture / interstate
Go straight ahead.,/gəʊ streɪt əˈhɛd/,gou streit ajed,Sigue recto.,35 torture / interstate
Go back home now.,/gəʊ bæk həʊm naʊ/,gou bak jom nau,Vuelve a casa ahora.,35 torture / interstate
There is a bend.,/ðeə r ɪz ə bɛnd/,der is a bend,Hay una curva.,35 torture / interstate
Turn to the left.,/tɜːn tuː ðə lɛft/,torn tu de left,Gira a la izquierda.,35 torture / interstate
Make a U-turn here.,/meɪk ə juː tɜːn hɪə/,meik a yu torn jier,Haz un cambio de sentido aquí.,35 torture / interstate
The sun is visible.,/ðə sʌn ɪz ˈvɪzəbəl/,de san is vi-si-ble,El sol es visible.,35 torture / interstate
The cat appears now.,/ðə kæt əˈpɪəz naʊ/,de ket a-piars nau,El gato aparece ahora.,35 torture / interstate
We stop at the shop.,/wi stɒp æt ðə ʃɒp/,ui stop at de shop,Paramos en la tienda.,35 torture / interstate
He needs to rest.,/hi niːdz tuː rɛst/,ji nidz tu rest,Él necesita descansar.,35 torture / interstate
Take a short rest.,/teɪk ə ʃɔːt rɛst/,teik a short rest,Toma un descanso corto.,35 torture / interstate
Do not lose your way.,/duː nɒt luːz jɔː weɪ/,du not lus yor uei,No te pierdas.,35 torture / interstate
This road leads home.,/ðɪs rəʊd liːdz həʊm/,dis rod lids jom,Este camino lleva a casa.,35 torture / interstate
We arrive at the park.,/wi əˈraɪv æt ðə pɑːk/,ui a-raiv at de park,Llegamos al parque.,35 torture / interstate
This road is a long stretch.,/ðɪs rəʊd ɪz ə lɒŋ strɛtʃ/,dis rod is a long strech,Este camino es un tramo largo.,35 torture / interstate
The road is asphalt.,/ðə rəʊd ɪz ˈæsfɛlt/,de rod is as-felt,El camino es asfalto.,35 torture / interstate
He stands on the curb.,/hi stændz ɒn ðə kɜːb/,ji stands on de kerb,Él está en el bordillo.,35 torture / interstate
The water is in the ditch.,/ðə ˈwɔːtə r ɪz ɪn ðə dɪtʃ/,de uo-ter is in de dich,El agua está en la zanja.,35 torture / interstate
The manhole is on the street.,/ðə ˈmænhəʊl ɪz ɒn ðə striːt/,de manjol is on de striit.,La boca de registro está en la calle.,35 torture / interstate
The car stops on the roadside.,/ðə kɑː stɒps ɒn ðə ˈrəʊdsaɪd/,de car stops on de rowsaid.,El coche se detiene en el arcén.,35 torture / interstate
I see a pit in the ground.,/aɪ siː ə pɪt ɪn ðə ɡraʊnd/,ai si a pit in de graund.,Veo un hoyo en el suelo.,35 torture / interstate
I go to the park.,/aɪ ɡəʊ tuː ðə pɑːk/,ai gou tu de park.,Voy al parque.,35 torture / interstate
I pass the slow car.,/aɪ pɑːs ðə sləʊ kɑː/,ai pas de slow car.,Adelanto al coche lento.,35 torture / interstate
I hear a step.,/aɪ hɪər ə stɛp/,ai jir a step.,Oigo un paso.,35 torture / interstate
I go to school on foot.,/aɪ ɡəʊ tuː skuːl ɒn fʊt/,ai gou tu skul on fut.,Voy a la escuela andando.,35 torture / interstate
The tree blocks the road.,/ðə triː blɒks ðə rəʊd/,de tri blaks de rohd.,El árbol bloquea la carretera.,35 torture / interstate
The boom barrier is down.,/ðə buːm ˈbæriə ɪz daʊn/,deum bari-er is daun.,La barrera está bajada.,35 torture / interstate
This road is a dead end.,/ðɪs rəʊd ɪz ə dɛd ɛnd/,dis rohd is a ded end.,Esta calle es un callejón sin salida.,35 torture / interstate
The bandit runs away.,/ðə ˈbændɪt rʌnz əˈweɪ/,de bandit runs awei.,El bandido huye.,35 torture / interstate
He commits a crime.,/hiː kəˈmɪts ə kraɪm/,ji comits a craim.,Él comete un crimen.,35 torture / interstate
The criminal is in jail.,/ðə ˈkrɪmɪnl ɪz ɪn dʒeɪl/,de criminal is in yeil.,El criminal está en la cárcel.,35 torture / interstate
The thief takes the money.,/ðə θiːf teɪks ðə ˈmʌni/,de zif teiks de moni.,El ladrón toma el dinero.,35 torture / interstate
Do not steal the bike.,/duː nɒt stiːl ðə baɪk/,du not stil de baik.,No robes la bicicleta.,35 torture / interstate
Stealing is bad.,/ˈstiːlɪŋ ɪz bæd/,stiling is bad.,Robar es malo.,35 torture / interstate
The theft happens at night.,/ðə θɛft ˈhæpənz æt naɪt/,de zeft japsens at nait.,El robo ocurre de noche.,35 torture / interstate
They want to kidnap him.,/ðeɪ wɒnt tuː ˈkɪdnæp hɪm/,dei want tu kidnab jim.,Ellos quieren secuestrarlo.,35 torture / interstate
The kidnapping is on the news.,/ðə ˈkɪdnæpɪŋ ɪz ɒn ðə njuːz/,de kidnapping is on de niuz.,El secuestro está en las noticias.,35 torture / interstate
The kidnapper asks for money.,/ðə ˈkɪdnæpər ɑːsks fɔːr ˈmʌni/,de kidnaber asks for moni.,El secuestrador pide dinero.,35 torture / interstate
He pays the ransom.,/hiː peɪz ðə ˈrænsəm/,ji peis de ransam.,Él paga el rescate.,35 torture / interstate
They demand ransom from the family.,/ðeɪ dɪˈmɑːnd ˈrænsəm frɒm ðə ˈfæməli/,dei dimand ransam from de famili.,Ellos exigen rescate a la familia.,35 torture / interstate
Do not rob the bank.,/duː nɒt rɒb ðə bæŋk/,du not rob de bank.,No robes el banco.,35 torture / interstate
The robbery happens at noon.,/ðə ˈrɒbəri ˈhæpənz æt nuːn/,de rob-eri japsens at nun.,El robo ocurre al mediodía.,35 torture / interstate
The robber runs fast.,/ðə ˈrɒbər rʌnz fɑːst/,de rob-er runs fast.,El ladrón corre rápido.,35 torture / interstate
They try to extort money from him.,/ðeɪ traɪ tuː ɪkˈstɔːrt ˈmʌni frɒm hɪm/,dei tray tu ikstort mani from jim.,Ellos intentan extorsionar dinero de él.,35 torture / interstate
The extortionist wants the money today.,/ðə ɪkˈstɔːrʃənɪst wɒnts ðə ˈmʌni təˈdeɪ/,de ikstorsionist uants de mani tudei.,El extorsionador quiere el dinero hoy.,35 torture / interstate
Extortion is a very bad crime.,/ɪkˈstɔːrʃən ɪz ə ˈvɛri bæd kraɪm/,ikstorsion is a veri bad kraim.,La extorsión es un crimen muy malo.,35 torture / interstate
They did not murder the man.,/ðeɪ dɪd nɒt ˈmɜːrdər ðə mæn/,dei did not murder de man.,Ellos no asesinaron al hombre.,35 torture / interstate
The murder happened late at night.,/ðə ˈmɜːrdər ˈhæpənd leɪt æt naɪt/,de murderer japend leit at nait.,El asesinato ocurrió tarde en la noche.,35 torture / interstate
The murderer ran away fast.,/ðə ˈmɜːrdərər ræn əˈweɪ fæst/,de murderer ran ruei fast.,El asesino huyó muy rápido.,35 torture / interstate
I hear a loud gunshot.,/aɪ hɪər ə laʊd ˈgʌnʃɒt/,ai jir a laud gunshot.,Oigo un disparo de arma fuerte.,35 torture / interstate
He will fire a shot at me.,/hiː wɪl faɪər ə ʃɒt æt miː/,ji uil faier a shot at mi.,Él me disparará un tiro.,35 torture / interstate
They shoot to death the bad man.,/ðeɪ ʃuːt tuː dɛθ ðə bæd mæn/,dei shut tu ded de bad man.,Ellos matan a tiros al mal hombre.,35 torture / interstate
Do not shoot at the dog.,/duː nɒt ʃuːt æt ðə dɒg/,du not shut at de dog.,No le disparos al perro.,35 torture / interstate
The shooting stops in the park.,/ðə ˈʃuːtɪŋ stɒps ɪn ðə pɑːrk/,de shooting stops in de park.,El tiroteo para en el parque.,35 torture / interstate
The incident was on the street.,/ðə ˈɪnsɪdənt wɒz ɒn ðə striːt/,de incident was on de strit.,El incidente fue en la calle.,35 torture / interstate
The fight is short and loud.,/ðə faɪt ɪz ʃɔːrt ænd laʊd/,de fait is short and laud.,La pelea es corta y ruidosa.,35 torture / interstate
Help! I need you here.,/hɛlp aɪ niːd juː hɪər/,jelp! ai nid yu jir.,¡Ayuda! Te necesito aquí.,35 torture / interstate
The victim is very afraid now.,/ðə ˈvɪktɪm ɪz ˈvɛri əˈfreɪd naʊ/,de victim is veri afreid nau.,La víctima está muy asustada ahora.,35 torture / interstate
Do not damage the nice car.,/duː nɒt ˈdæmɪdʒ ðə naɪs kɑːr/,du not damide de nais car.,No dañes el auto bonito.,35 torture / interstate
The damage is bad for him.,/ðə ˈdæmɪdʒ ɪz bæd fɔːr hɪm/,de damide is bad for jim.,El daño es malo para él.,35 torture / interstate
They see the dead body there.,/ðeɪ siː ðə dɛd ˈbɒdi ðeər/,dei si de ded bodi der.,Ellos ven el cadáver ahí.,35 torture / interstate
It was a grave mistake.,/ɪt wɒz ə ɡreɪv mɪˈsteɪk/,it was a greiv missteik.,Fue un error grave.,35 torture / interstate
The dog will attack the cat.,/ðə dɒg wɪl əˈtæk ðə kæt/,de dog uil atak de kat.,El perro atacará al gato.,35 torture / interstate
He beats the dog every day.,/hiː biːts ðə dɒg ˈɛvri deɪ/,ji bits de dog evri dei.,Él golpea al perro todos los días.,35 torture / interstate
The boys beat up the man.,/ðə bɔɪz biːt ʌp ðə mæn/,de boits bat ap de man.,Los muchachos golpearon al hombre.,35 torture / interstate
They take the money from her.,/ðeɪ teɪk ðə ˈmʌni frɒm hɜːr/,dei teik de mani from jer.,Ellos toman el dinero de ella.,35 torture / interstate
He did not stab to death him.,/hiː dɪd nɒt stæb tuː dɛθ hɪm/,ji did not stab tu ded jim.,Él no lo apuñaló hasta la muerte.,35 torture / interstate
The car crash might maim him.,/ðə kɑːr kræʃ maɪt meɪm hɪm/,de car crash mait meim jim.,El choque del auto podría mutilarlo.,35 torture / interstate
He did not wound the cat.,/hiː dɪd nɒt wuːnd ðə kæt/,ji did not wuund de kat.,El no hirió al gato.,35 torture / interstate
The blackmail is very bad.,/ðə ˈblækmeɪl ɪz ˈvɛri bæd/,de blackmeil iz veri bad.,El chantaje es muy malo.,35 torture / interstate
They blackmail the rich man.,/ðeɪ ˈblækmeɪl ðə rɪtʃ mæn/,dei blackmeil de rich man.,Ellos chantajean al hombre rico.,35 torture / interstate
The blackmailer is in the car.,/ðə ˈblækmeɪlər ɪz ɪn ðə kɑːr/,de blackmeiler is in de car.,El chantajista está en el coche.,35 torture / interstate
It is a protection racket.,/ɪt ɪz ə prəˈtɛkʃən ˈrækɪt/,it is a proteccion racket.,Es una mafia de protección.,35 torture / interstate
The racketeer is very tall.,/ðə ˌrækɪˈtɪr ɪz ˈvɛri tɔːl/,de racketir is veri tol.,El gánster es muy alto.,35 torture / interstate
I see a gangster there.,/aɪ siː ə ˈɡæŋstər ðɛər/,ai si a ganger der.,Veo un gánster ahí.,35 torture / interstate
The mafia is bad here.,/ðə ˈmɑːfiə ɪz bæd hɪər/,de mafia is bad jir.,La mafia es mala aquí.,35 torture / interstate
The pickpocket runs away fast.,/ðə ˈpɪkˌpɒkɪt rʌnz əˈweɪ fæst/,de pickpocket ran avuei fast.,El carterista huye rápido.,35 torture / interstate
The burglar is at the door.,/ðə ˈbɜːrɡlər ɪz æt ðə dɔːr/,de burglar is at de dor.,El ladrón está en la puerta.,35 torture / interstate
Smuggling is a big crime.,/ˈsmʌɡlɪŋ ɪz ə bɪɡ kraɪm/,smugling is a big craim.,El contrabando es un gran crimen.,35 torture / interstate
The smuggler has a boat.,/ðə ˈsmʌɡlər hæz ə boʊt/,de smuggler jas a boat.,El contrabandista tiene un barco.,35 torture / interstate
The forgery is a lie.,/ðə ˈfɔːrdʒəri ɪz ə laɪ/,de forguey is a lai.,La falsificación es una mentira.,35 torture / interstate
He can forge the paper.,/hi kæn fɔːrdʒ ðə ˈpeɪpər/,ji can forge de peiper.,Él puede falsificar el papel.,35 torture / interstate
It is a fake watch.,/ɪt ɪz ə feɪk wɒtʃ/,it is a feik guoch.,Es un reloj falso.,35 torture / interstate
Rape is a terrible crime.,/reɪp ɪz ə ˈtɛrəbl kraɪm/,reip is a terible craim.,La violación es un crimen terrible.,35 torture / interstate
He did not rape her.,/hiː dɪd nɒt reɪp hɜːr/,ji did not reip jar.,Él no la violó.,35 torture / interstate
The rapist is in jail.,/ðə ˈreɪpɪst ɪz ɪn dʒeɪl/,de reipist is in yeil.,El violador está en la cárcel.,35 torture / interstate
The maniac is very loud.,/ðə ˈmeɪniæk ɪz ˈvɛri laʊd/,de maniac is veri laud.,El maníaco es muy ruidoso.,35 torture / interstate
The prostitute is my friend.,/ðə ˈprɒstɪtjuːt ɪz maɪ frɛnd/,de prostitute is mai frend.,La prostituta es mi amiga.,35 torture / interstate
Prostitution is bad work.,/ˌprɒstɪˈtjuːʃən ɪz bæd wɜːrk/,prostitucion is bas uork.,La prostitución es un mal trabajo.,35 torture / interstate
The pimp has the money.,/ðə pɪmp hæz ðə ˈmʌni/,de pimp jas de mani.,El chulo tiene el dinero.,35 torture / interstate
The drug addict needs help.,/ðə drʌɡ ˈædɪkt niːdz hɛlp/,de drog adict nids jelp.,El drogadicto necesita ayuda.,36 suspicion / suspicious
The drug dealer is young.,/ðə drʌɡ ˈdiːlər ɪz jʌŋ/,de drog dealer is yung.,El traficante es joven.,36 suspicion / suspicious
They blow up the house.,/ðeɪ bloʊ ʌp ðə haʊs/,dei blo up de jaus.,Ellos volan la casa.,36 suspicion / suspicious
The explosion was very loud.,/ðə ɪkˈspləʊʒən wɒz ˈvɛri laʊd/,de iks-plo-shion guas beri laud.,La explosión fue muy ruidosa.,36 suspicion / suspicious
He will set fire to the wood.,/hiː wɪl sɛt ˈfaɪə tuː ðə wʊd/,ji wil set faier tu de uud.,Él le prenderá fuego a la madera.,36 suspicion / suspicious
The police found the incendiary.,/ðə pəˈliːs faʊnd ðə ɪnˈsɛndɪəri/,de polis faund de in-sen-diari.,La policía encontró al incendiario.,36 suspicion / suspicious
They fight against terrorism.,/ðeɪ faɪt əˈɡɛnst ˈtɛrərɪzəm/,dei feit a-keinst te-ror-ism.,Ellos luchan contra el terrorismo.,36 suspicion / suspicious
The terrorist ran away.,/ðə ˈtɛrərɪst ræn əˈweɪ/,de te-rorist ran a-uei.,El terrorista huyó.,36 suspicion / suspicious
The man is a hostage.,/ðə mæn ɪz ə ˈhɒstɪdʒ/,de man is a jos-tich.,El hombre es un rehén.,36 suspicion / suspicious
He did swindle his friend.,/hiː dɪd ˈswɪndəl hɪz frɛnd/,ji did swindol jis frend.,Él estafó a su amigo.,36 suspicion / suspicious
It was a bad swindle.,/ɪt wɒz ə bæd ˈswɪndəl/,it guas a bad swindol.,Fue una mala estafa.,36 suspicion / suspicious
The swindler is in jail.,/ðə ˈswɪndlər ɪz ɪn dʒeɪl/,de swindoler is in yeil.,El estafador está en la cárcel.,36 suspicion / suspicious
She will bribe the guard.,/ʃiː wɪl braɪb ðə ɡɑːd/,shi wil braib de gard.,Ella sobornará al guardia.,36 suspicion / suspicious
Bribery is a crime.,/ˈbraɪbəri ɪz ə kraɪm/,braiberi is a kraim.,El soborno es un crimen.,36 suspicion / suspicious
He took a bribe.,/hiː tʊk ə braɪb/,ji tuk a braib.,Él aceptó un soborno.,36 suspicion / suspicious
The poison is in the cup.,/ðə ˈpɔɪzən ɪz ɪn ðə kʌp/,de poison is in de cap.,El veneno está en la taza.,36 suspicion / suspicious
She did poison the cat.,/ʃiː dɪd ˈpɔɪzən ðə kæt/,shi did poison de kat.,Ella envenenó al gato.,36 suspicion / suspicious
He will poison himself.,/hiː wɪl ˈpɔɪzən hɪmˈsɛlf/,ji wil poison jim-self.,Él se envenenará.,36 suspicion / suspicious
Suicide is very sad.,/ˈsuːɪsaɪd ɪz ˈvɛri sæd/,su-i-said is beri sad.,El suicidio es muy triste.,36 suspicion / suspicious
The suicide died late.,/ðə ˈsuːɪsaɪd daɪd leɪt/,de su-i-said daid leit.,El suicida murió tarde.,36 suspicion / suspicious
He did threaten the boy.,/hiː dɪd ˈθrɛtən ðə bɔɪ/,ji did zreten de boi.,Él amenazó al niño.,36 suspicion / suspicious
The threat was bad.,/ðə θrɛt wɒz bæd/,de zret guas bad.,La amenaza fue mala.,36 suspicion / suspicious
She will make an attempt.,/ʃiː wɪl meɪk ən əˈtɛmpt/,shi wil meik an at-empt.,Ella hará un intento.,36 suspicion / suspicious
The attempt failed.,/ðə əˈtɛmpt feɪld/,de at-empt feild.,El intento falló.,36 suspicion / suspicious
They steal cars.,/ðeɪ stiːl kɑːz/,dei stil cars.,Ellos roban coches.,36 suspicion / suspicious
He will hijack the plane.,/hiː wɪl ˈhaɪdʒæk ðə pleɪn/,ji wil jay-jak de plein.,Él secuestrará el avión.,36 suspicion / suspicious
She wants revenge.,/ʃiː wɒnts rɪˈvɛndʒ/,shi guants re-bench.,Ella quiere venganza.,36 suspicion / suspicious
He will revenge his brother.,/hiː wɪl rɪˈvɛndʒ hɪz ˈbrʌðə/,ji wil re-bench jis bra-der.,Él vengará a su hermano.,36 suspicion / suspicious
He is a bad man.,/hiː ɪz ə bæd mæn/,ji is a bad man.,Él es un hombre malo.,36 suspicion / suspicious
It is a bad thing.,/ɪt ɪz ə bæd θɪŋ/,it is a bad zing.,Es una mala cosa.,36 suspicion / suspicious
She likes to play.,/ʃiː laɪks tuː pleɪ/,shi laiks tu plei.,A ella le gusta jugar.,36 suspicion / suspicious
The pirate is here.,/ðə ˈpaɪərət ɪz hɪə/,de pairet is jier.,El pirata está aquí.,36 suspicion / suspicious
He is a bad boy.,/hiː ɪz ə bæd bɔɪ/,ji is a bad boi.,Él es un chico malo.,36 suspicion / suspicious
The man is armed.,/ðə mæn ɪz ɑːrmd/,de man is armd.,El hombre está armado.,36 suspicion / suspicious
We do not like violence.,/wiː duː nɒt laɪk ˈvaɪələns/,ui du not laik vaiolens.,No nos gusta la violencia.,36 suspicion / suspicious
It is illegal here.,/ɪt ɪz ɪˈliːgəl hɪə/,it is ilegal jier.,Es ilegal aquí.,36 suspicion / suspicious
He likes spying.,/hiː laɪks ˈspaɪɪŋ/,ji laiks spaiin.,A él le gusta espiar.,36 suspicion / suspicious
They spy on us.,/ðeɪ spaɪ ɒn ʌs/,dei spai on as.,Ellos nos espían.,36 suspicion / suspicious
We want justice.,/wiː wɒnt ˈdʒʌstɪs/,ui uont yastis.,Queremos justicia.,36 suspicion / suspicious
This is a court.,/ðɪs ɪz ə kɔːt/,dis is a cort.,Este es un tribunal.,36 suspicion / suspicious
The judge is good.,/ðə dʒʌdʒ ɪz ɡʊd/,de yach is gud.,El juez es bueno.,36 suspicion / suspicious
The jurors are here.,/ðə ˈdʒʊərərz ɑːr hɪə/,de yurorz ar jier.,Los jurados están aquí.,36 suspicion / suspicious
It is a jury trial.,/ɪt ɪz ə ˈdʒʊəri ˈtraɪəl/,it is a yuri traiyal.,Es un juicio con jurado.,36 suspicion / suspicious
Do not judge me.,/duː nɒt dʒʌdʒ miː/,du not yach mi.,No me juzgues.,36 suspicion / suspicious
She is my lawyer.,/ʃiː ɪz maɪ ˈlɔːjə/,shi is mai loyer.,Ella es mi abogada.,36 suspicion / suspicious
The accused is sad.,/ðə əˈkjuːzd ɪz sæd/,de aciuz is sad.,El acusado está triste.,36 suspicion / suspicious
He is in the dock.,/hiː ɪz ɪn ðə dɒk/,ji is in de dok.,Él está en el banquillo.,36 suspicion / suspicious
The charge is bad.,/ðə tʃɑːrdʒ ɪz bæd/,de charch is bad.,El cargo es malo.,36 suspicion / suspicious
The sentence is long.,/ðə ˈsɛntəns ɪz lɒŋ/,de sentens is long.,La sentencia es larga.,36 suspicion / suspicious
They sentence him.,/ðeɪ ˈsɛntəns hɪm/,dei sentens jim.,Ellos lo condenan.,36 suspicion / suspicious
He is not guilty.,/hiː ɪz nɒt ˈɡɪlti/,ji is not gilti.,Él no es culpable.,36 suspicion / suspicious
Do not punish him.,/duː nɒt ˈpʌnɪʃ hɪm/,du not panish jim.,No lo castigues.,36 suspicion / suspicious
The punishment is hard.,/ðə ˈpʌnɪʃmənt ɪz hɑːrd/,de panishment is jard.,El castigo es duro.,36 suspicion / suspicious
He pays the fine.,/hiː peɪz ðə faɪn/,ji peis de fain.,Él paga la multa.,36 suspicion / suspicious
He has life imprisonment.,/hiː hæz laɪf ɪmˈprɪzənmənt/,ji jas laif imprizonment.,Él tiene cadena perpetua.,36 suspicion / suspicious
The death penalty is bad.,/ðə dɛθ ˈpɛnəlti ɪz bæd/,de deth penalti is bad.,La pena de muerte es mala.,36 suspicion / suspicious
The chair is electric.,/ðə tʃeər ɪz ɪˈlɛktrɪk/,de cher is ilektric.,La silla es eléctrica.,36 suspicion / suspicious
The gallows are high.,/ðə ˈɡæloʊz ɑː haɪ/,de galoz ar jai.,La horca es alta.,36 suspicion / suspicious
They execute him.,/ðeɪ ˈɛksɪkjuːt hɪm/,dei eksikiut jim.,Ellos lo ejecutan.,36 suspicion / suspicious
The execution is today.,/ðə ˌɛksɪˈkjuːʃən ɪz təˈdeɪ/,de eksikiucion is tudei.,La ejecución es hoy.,36 suspicion / suspicious
He is in jail.,/hiː ɪz ɪn dʒeɪl/,ji is in yeil.,Él está en la cárcel.,36 suspicion / suspicious
The cell is small.,/ðə sɛl ɪz smɔːl/,de sel is esmol.,La celda es pequeña.,36 suspicion / suspicious
I escort him there.,/aɪ ɪˈskɔːt hɪm ðeə/,ai iskort jim der.,Lo acompaño allí.,36 suspicion / suspicious
The guard is here.,/ðə ɡɑːrd ɪz hɪə/,de gard is jier.,El guardia está aquí.,36 suspicion / suspicious
The prisoner is sad.,/ðə ˈprɪzənər ɪz sæd/,de prisoner is sad.,El prisionero está triste.,36 suspicion / suspicious
The handcuffs are tight.,/ðə ˈhændkʌfs ɑː taɪt/,de jandcafs ar tait.,Las esposas están apretadas.,36 suspicion / suspicious
They handcuff him.,/ðeɪ ˈhændkʌf hɪm/,dei jandcaf jim.,Le ponen las esposas.,36 suspicion / suspicious
The break is bad.,/ðə breɪk ɪz bæd/,de breik is bad.,La fuga es mala.,36 suspicion / suspicious
He breaks out.,/hiː breɪks aʊt/,ji breiks aut.,Él se escapa.,36 suspicion / suspicious
The cat disappears.,/ðə kæt ˌdɪsəˈpɪəz/,de kat disapiars.,El gato desaparece.,36 suspicion / suspicious
They release him.,/ðeɪ rɪˈliːs hɪm/,dei rilis jim.,Ellos lo liberan.,36 suspicion / suspicious
Amnesty is good.,/ˈæmnəsti ɪz ɡʊd/,amnesti is gud.,La amnistía es buena.,36 suspicion / suspicious
The police are here.,/ðə pəˈliːs ɑː hɪə/,de polis ar jier.,La policía está aquí.,36 suspicion / suspicious
The officer is kind.,/ðə ˈɒfɪsər ɪz kaɪnd/,de ofiser is kaind.,El oficial es amable.,36 suspicion / suspicious
The station is big.,/ðə ˈsteɪʃən ɪz bɪɡ/,de steishon is big.,La estación es grande.,36 suspicion / suspicious
The station is not big.,/ðə ˈsteɪʃən ɪz nɒt bɪɡ/,de steishon is not big.,La estación no es grande.,36 suspicion / suspicious
Is the station big?,/ɪz ðə ˈsteɪʃən bɪɡ/,iz de steishon big?,¿Es grande la estación?,36 suspicion / suspicious
Where is the big station?,/wɛər ɪz ðə bɪɡ ˈsteɪʃən/,wer is de big steishon?,¿Dónde está la estación grande?,36 suspicion / suspicious
The station was big.,/ðə ˈsteɪʃən wəz bɪɡ/,de steishon woz big.,La estación era grande.,36 suspicion / suspicious
The club is hard.,/ðə klʌb ɪz hɑːrd/,de clab is jard.,El porra es dura.,36 suspicion / suspicious
He uses a bullhorn.,/hiː ˈjuːzɪz ə ˈbʊlhɔːrn/,ji yuses a buljorn.,Él usa un megáfono.,36 suspicion / suspicious
The car is fast.,/ðə kɑːr ɪz fæst/,de car is fast.,El coche es rápido.,36 suspicion / suspicious
The siren is very loud.,/ðə ˈsaɪərən ɪz ˈvɛri laʊd/,de sairen iz veri laud.,La sirena es muy ruidosa.,36 suspicion / suspicious
He will turn on the siren.,/hi wɪl tɜːn ɒn ðə ˈsaɪərən/,ji wil tern on de sairen.,Él encenderá la sirena.,36 suspicion / suspicious
It is a siren call.,/ɪt ɪz ə ˈsaɪərən kɔːl/,it iz a sairen col.,Es un canto de sirena.,36 suspicion / suspicious
This is the crime scene.,/ðɪs ɪz ðə kraɪm siːn/,dis iz de crain sin.,Este es la escena del crimen.,36 suspicion / suspicious
I am a witness.,/aɪ æm ə ˈwɪtnəs/,ai am a uitness.,Soy testigo.,36 suspicion / suspicious
He likes his freedom.,/hi laɪks hɪz ˈfriːdəm/,ji laiks jis fridom.,Le gusta su libertad.,36 suspicion / suspicious
She is his accomplice.,/ʃi ɪz hɪz əˈkʌmplɪs/,shi iz hiz akomplis.,Ella es su cómplice.,36 suspicion / suspicious
They will flee now.,/ðeɪ wɪl fliː naʊ/,dei wil fli nau.,Ellos huirán ahora.,36 suspicion / suspicious
He left a trace.,/hi left ə treɪs/,ji left a treis.,Él dejó un rastro.,36 suspicion / suspicious
It is a search.,/ɪt ɪz ə sɜːtʃ/,it iz a sarch.,Es una búsqueda.,36 suspicion / suspicious
I look for my cat.,/aɪ lʊk fɔː maɪ kæt/,ai luk for mai kat.,Busco a mi gato.,36 suspicion / suspicious
She has a suspicion.,/ʃi hæz ə səˈspɪʃən/,shi jas a saspision.,Ella tiene una sospecha.,36 suspicion / suspicious
She does not have a suspicion.,/ʃiː dʌz nɒt hæv ə səˈspɪʃən/,shi das not jav a saspision.,Ella no tiene una sospecha.,36 suspicion / suspicious
Does she have a suspicion?,/dʌz ʃiː hæv ə səˈspɪʃən/,das shi jav a saspision?,¿Tiene ella una sospecha?,36 suspicion / suspicious
Why does she have a suspicion?,/waɪ dʌz ʃiː hæv ə səˈspɪʃən/,guai daz shi hav e saspishon?,¿Por qué tiene ella una sospecha?,36 suspicion / suspicious
She had a suspicion.,/ʃiː hæd ə səˈspɪʃən/,shi jad a saspision.,Ella tenía una sospecha.,36 suspicion / suspicious
He is very suspicious.,/hi ɪz ˈvɛri səˈspɪʃəs/,ji iz veri saspisios.,Él es muy sospechoso.,36 suspicion / suspicious
He is not very suspicious.,/hi ɪz nɒt ˈvɛri səˈspɪʃəs/,ji iz not veri saspisios.,Él no es muy sospechoso.,36 suspicion / suspicious
Is he very suspicious?,/ɪz hi ˈvɛri səˈspɪʃəs/,iz ji veri saspisios?,¿Él es muy sospechoso?,36 suspicion / suspicious
Why is he very suspicious?,/waɪ ɪz hi ˈvɛri səˈspɪʃəs/,wai iz ji veri saspisios?,¿Por qué él es muy sospechoso?,36 suspicion / suspicious
He was very suspicious.,/hi wəz ˈvɛri səˈspɪʃəs/,ji woz veri saspisios.,Él era muy sospechoso.,36 suspicion / suspicious
